,extractor,reliable_positive_threshold,algorithn,prior,balanced_accuracy,accuracy,f1
0,clip-ViT-B-32,5.386517,probtag,0.1,0.5083584254044167,0.301905265425209,0.03340292275574113
1,clip-ViT-B-32,5.386517,probtag,0.2,0.5056345637517655,0.29800857663161606,0.022681424131726732
2,clip-ViT-B-32,5.386517,probtag,0.3,0.5041164656843088,0.29579588400007834,0.016463831532886643
3,clip-ViT-B-32,5.386517,probtag,0.4,0.5031237182558005,0.2943860267481251,0.01255035212232483
4,clip-ViT-B-32,5.386517,probtag,0.5,0.502385351460166,0.2933090524584386,0.009496102755516522
5,clip-ViT-B-32,5.386517,probtag,0.6,0.5016683672062433,0.2922908222209168,0.00665127528583993
6,clip-ViT-B-32,5.386517,probtag,0.7,0.501020323745967,0.2913704987370029,0.004072983460384732
7,clip-ViT-B-32,5.386517,probtag,0.8,0.5006204671428177,0.29080263956607727,0.0024787925526054866
8,clip-ViT-B-32,5.386517,probtag,0.9,0.5003860684444199,0.2904697566038105,0.001543082306908049
9,clip-ViT-B-32,5.386517,nnpu,0.1,0.5,0.28992147878360647,0.0
10,clip-ViT-B-32,5.386517,nnpu,0.2,0.5010754763808841,0.29144882413988915,0.004292672188437302
11,clip-ViT-B-32,5.386517,nnpu,0.3,0.5479598537094053,0.359337367091582,0.18
12,clip-ViT-B-32,5.386517,nnpu,0.4,0.7074098583803932,0.6152656210225381,0.6430751344281355
13,clip-ViT-B-32,5.386517,nnpu,0.5,0.7488638225680357,0.7420157042432787,0.8012970364225925
14,clip-ViT-B-32,5.386517,nnpu,0.6,0.7387891643913536,0.780688871918385,0.8444746854778237
15,clip-ViT-B-32,5.386517,nnpu,0.7,0.6429886426882534,0.7764788815132467,0.8592322205916808
16,clip-ViT-B-32,5.386517,nnpu,0.8,0.6163746038632942,0.7670602518161703,0.8559980631884759
17,clip-ViT-B-32,5.386517,nnpu,0.9,0.5115761389332943,0.7165012042530694,0.8334981714469719
18,clip-ViT-B-32,5.475771,probtag,0.1,0.506805156636519,0.299614247390785,0.02698585418933624
19,clip-ViT-B-32,5.475771,probtag,0.2,0.5048334499382315,0.2968141142376001,0.019280661987601387
20,clip-ViT-B-32,5.475771,probtag,0.3,0.5036262857458015,0.29507137402338013,0.014400700870612715
21,clip-ViT-B-32,5.475771,probtag,0.4,0.5025508093649174,0.29354402866709745,0.010151448639157156
22,clip-ViT-B-32,5.475771,probtag,0.5,0.5019854948570168,0.29274119328751297,0.007910566649270744
23,clip-ViT-B-32,5.475771,probtag,0.6,0.5014201803491162,0.2919383579079285,0.005664631798933069
24,clip-ViT-B-32,5.475771,probtag,0.7,0.5010341119046963,0.29139008008772443,0.0041279101766745555
25,clip-ViT-B-32,5.475771,probtag,0.8,0.500634255301547,0.2908222209167988,0.0025338070450852406
26,clip-ViT-B-32,5.475771,probtag,0.9,0.500289551333315,0.29033268714875954,0.0011575350016536214
27,clip-ViT-B-32,5.475771,nnpu,0.1,0.5,0.28992147878360647,0.0
28,clip-ViT-B-32,5.475771,nnpu,0.2,0.5018062487935361,0.29248663572813255,0.007198988844314998
29,clip-ViT-B-32,5.475771,nnpu,0.3,0.5630077459651904,0.38119015449685717,0.23015834348355665
30,clip-ViT-B-32,5.475771,nnpu,0.4,0.689291439281093,0.5839158785173001,0.599460896118829
31,clip-ViT-B-32,5.475771,nnpu,0.5,0.7478164812574968,0.7204370557481055,0.7761769639581733
32,clip-ViT-B-32,5.475771,nnpu,0.6,0.7397170163971138,0.7709961033112064,0.834683290219527
33,clip-ViT-B-32,5.475771,nnpu,0.7,0.6822508102093793,0.784761792868472,0.8593797973595333
34,clip-ViT-B-32,5.475771,nnpu,0.8,0.5960233141727904,0.7579940864320821,0.8520677479202825
35,clip-ViT-B-32,5.475771,nnpu,0.9,0.5176367657298409,0.7198300338757367,0.8350700848395426
36,clip-ViT-B-32,5.566116,probtag,0.1,0.5032953699362988,0.2946014216060624,0.01309517286724015
37,clip-ViT-B-32,5.566116,probtag,0.2,0.5023164106665196,0.2932111457048307,0.009222914550794653
38,clip-ViT-B-32,5.566116,probtag,0.3,0.5017924606348069,0.29246705437741094,0.007144231033440496
39,clip-ViT-B-32,5.566116,probtag,0.4,0.5013374513967405,0.29182086980359906,0.005335533553355336
40,clip-ViT-B-32,5.566116,probtag,0.5,0.5009651711110499,0.2912921733341166,0.003853246360058349
41,clip-ViT-B-32,5.566116,probtag,0.6,0.5005791026666299,0.29074389551391255,0.0023137308910618376
42,clip-ViT-B-32,5.566116,probtag,0.7,0.500289551333315,0.29033268714875954,0.0011575350016536214
43,clip-ViT-B-32,5.566116,probtag,0.8,0.50019303422221,0.2901956176937085,0.0007718389061940073
44,clip-ViT-B-32,5.566116,probtag,0.9,0.5001240934285636,0.2900977109401007,0.0004962505513895015
45,clip-ViT-B-32,5.566116,nnpu,0.1,0.5,0.28992147878360647,0.0
46,clip-ViT-B-32,5.566116,nnpu,0.2,0.5060681904481201,0.2985960171532632,0.024244075183873604
47,clip-ViT-B-32,5.566116,nnpu,0.3,0.6025026973888722,0.4394642542442578,0.35205975554549573
48,clip-ViT-B-32,5.566116,nnpu,0.4,0.6566603135470133,0.5266208463059782,0.5101614896764127
49,clip-ViT-B-32,5.566116,nnpu,0.5,0.7442393713532365,0.7033816992696156,0.7559608196932595
50,clip-ViT-B-32,5.566116,nnpu,0.6,0.7393482534608438,0.7742466075309875,0.8380189673340358
51,clip-ViT-B-32,5.566116,nnpu,0.7,0.6691324211151092,0.7832148661614678,0.8603785958407426
52,clip-ViT-B-32,5.566116,nnpu,0.8,0.596255129570343,0.758777340460945,0.8526734994080152
53,clip-ViT-B-32,5.566116,nnpu,0.9,0.5136299208430803,0.7177152479978068,0.8341005339716443
54,clip-ViT-B-32,5.660284,probtag,0.1,0.5019027659046411,0.29262370518318354,0.007582209279964836
55,clip-ViT-B-32,5.660284,probtag,0.2,0.5012960869205526,0.29176212575143434,0.005170943697224744
56,clip-ViT-B-32,5.660284,probtag,0.3,0.5008686539999448,0.29115510387906557,0.0034685899906403126
57,clip-ViT-B-32,5.660284,probtag,0.4,0.5006894079364642,0.29090054631968515,0.002753834714840415
58,clip-ViT-B-32,5.660284,probtag,0.5,0.5004274329206078,0.29052850065597524,0.0017082713396153635
59,clip-ViT-B-32,5.660284,probtag,0.6,0.500289551333315,0.29033268714875954,0.0011575350016536214
60,clip-ViT-B-32,5.660284,probtag,0.7,0.50019303422221,0.2901956176937085,0.0007718389061940073
61,clip-ViT-B-32,5.660284,probtag,0.8,0.500096517111105,0.2900585482386575,0.0003859939343810311
62,clip-ViT-B-32,5.660284,probtag,0.9,0.5000551526349172,0.2899998041864928,0.00022058620784735434
63,clip-ViT-B-32,5.660284,nnpu,0.1,0.5000275763174585,0.28996064148504963,0.00011029918654349926
64,clip-ViT-B-32,5.660284,nnpu,0.2,0.5077717283548044,0.3010436859934598,0.031001438770801096
65,clip-ViT-B-32,5.660284,nnpu,0.3,0.5671506052733482,0.38761283753353304,0.24488120533127292
66,clip-ViT-B-32,5.660284,nnpu,0.4,0.6929029720881812,0.5901231666960387,0.6083376992740064
67,clip-ViT-B-32,5.660284,nnpu,0.5,0.7491930565313503,0.7273296912020991,0.7840650053499155
68,clip-ViT-B-32,5.660284,nnpu,0.6,0.712786598650249,0.784624723413421,0.8535321925560956
69,clip-ViT-B-32,5.660284,nnpu,0.7,0.6228390087769984,0.7686071785231745,0.8561551289698237
70,clip-ViT-B-32,5.660284,nnpu,0.8,0.5887176136629743,0.7546848381601363,0.8506330924958866
71,clip-ViT-B-32,5.660284,nnpu,0.9,0.5107208996588996,0.7161095772386379,0.8333409968732757
72,clip-ViT-B-32,5.758871,probtag,0.1,0.5011030526983427,0.2914879868413323,0.004402498417852132
73,clip-ViT-B-32,5.758871,probtag,0.2,0.5007031960951934,0.2909201276704067,0.002808834058489839
74,clip-ViT-B-32,5.758871,probtag,0.3,0.5004550092380663,0.2905676633574184,0.0018183821908750277
75,clip-ViT-B-32,5.758871,probtag,0.4,0.5002757631745857,0.29031310579803793,0.0011024446710580715
76,clip-ViT-B-32,5.758871,probtag,0.5,0.50019303422221,0.2901956176937085,0.0007718389061940073
77,clip-ViT-B-32,5.758871,probtag,0.6,0.5001516697460221,0.2901368736415438,0.0006064950102001433
78,clip-ViT-B-32,5.758871,probtag,0.7,0.5001103052698342,0.29007812958937906,0.0004411237627856966
79,clip-ViT-B-32,5.758871,probtag,0.8,0.5000689407936464,0.29001938553721435,0.00027572515716333963
80,clip-ViT-B-32,5.758871,probtag,0.9,0.5000413644761879,0.2899802228357712,0.00016544421772459052
81,clip-ViT-B-32,5.758871,nnpu,0.1,0.5,0.28992147878360647,0.0
82,clip-ViT-B-32,5.758871,nnpu,0.2,0.5219501573502141,0.32134954669173077,0.08520297735311197
83,clip-ViT-B-32,5.758871,nnpu,0.3,0.5849689526537352,0.4144784507235309,0.30295118653550285
84,clip-ViT-B-32,5.758871,nnpu,0.4,0.6884517622058423,0.5827801601754489,0.5979583750023587
85,clip-ViT-B-32,5.758871,nnpu,0.5,0.7436793500976806,0.7307368462276528,0.7899103173269368
86,clip-ViT-B-32,5.758871,nnpu,0.6,0.7337391809470153,0.7697428968650257,0.8348199862338282
87,clip-ViT-B-32,5.758871,nnpu,0.7,0.6892498093972841,0.782470774834048,0.8560805296091412
88,clip-ViT-B-32,5.758871,nnpu,0.8,0.6025722844733573,0.7608529636374317,0.8532743851892788
89,clip-ViT-B-32,5.758871,nnpu,0.9,0.5061909140008569,0.7135640016448335,0.8321244950422328
90,clip-ViT-B-32,5.865385,probtag,0.1,0.5008962303174034,0.29119426658050873,0.0035785069367980623
91,clip-ViT-B-32,5.865385,probtag,0.2,0.5004825855555249,0.29060682605886157,0.0019284809080390103
92,clip-ViT-B-32,5.865385,probtag,0.3,0.500344703968232,0.2904110125516458,0.0013778659611992945
93,clip-ViT-B-32,5.865385,probtag,0.4,0.5002757631745857,0.29031310579803793,0.0011024446710580715
94,clip-ViT-B-32,5.865385,probtag,0.5,0.5001103052698342,0.29007812958937906,0.0004411237627856966
95,clip-ViT-B-32,5.865385,probtag,0.6,0.5001103052698342,0.29007812958937906,0.0004411237627856966
96,clip-ViT-B-32,5.865385,probtag,0.7,0.5000551526349172,0.2899998041864928,0.00022058620784735434
97,clip-ViT-B-32,5.865385,probtag,0.8,0.5000275763174585,0.28996064148504963,0.00011029918654349926
98,clip-ViT-B-32,5.865385,probtag,0.9,0.5000137881587293,0.2899410601343281,5.515111405250386e-05
99,clip-ViT-B-32,5.865385,nnpu,0.1,0.5000551526349172,0.2899998041864928,0.00022058620784735434
100,clip-ViT-B-32,5.865385,nnpu,0.2,0.5168243548641966,0.3139282147682547,0.06560524841987359
101,clip-ViT-B-32,5.865385,nnpu,0.3,0.5919080069694663,0.4247586598523566,0.3239362069362299
102,clip-ViT-B-32,5.865385,nnpu,0.4,0.6876698834604262,0.583230531242045,0.5993977037455298
103,clip-ViT-B-32,5.865385,nnpu,0.5,0.7410217211496859,0.7234721651099493,0.7821889073971251
104,clip-ViT-B-32,5.865385,nnpu,0.6,0.7327482690217391,0.7569562748438388,0.8220093498150113
105,clip-ViT-B-32,5.865385,nnpu,0.7,0.6617914251167074,0.7759110223423211,0.8553955016426585
106,clip-ViT-B-32,5.865385,nnpu,0.8,0.6128437149290602,0.7645146762223658,0.8545018994845985
107,clip-ViT-B-32,5.865385,nnpu,0.9,0.504631295937659,0.7126828408623627,0.8317027011527212
108,clip-ViT-B-32,5.987416,probtag,0.1,0.5002343986983978,0.2902543617458732,0.0009371554575523704
109,clip-ViT-B-32,5.987416,probtag,0.2,0.5000827289523757,0.29003896688793596,0.00033086106592406737
110,clip-ViT-B-32,5.987416,probtag,0.3,0.5000275763174585,0.28996064148504963,0.00011029918654349926
111,clip-ViT-B-32,5.987416,probtag,0.4,0.5000275763174585,0.28996064148504963,0.00011029918654349926
112,clip-ViT-B-32,5.987416,probtag,0.5,0.5000137881587293,0.2899410601343281,5.515111405250386e-05
113,clip-ViT-B-32,5.987416,probtag,0.6,0.5000137881587293,0.2899410601343281,5.515111405250386e-05
114,clip-ViT-B-32,5.987416,probtag,0.7,0.5000137881587293,0.2899410601343281,5.515111405250386e-05
115,clip-ViT-B-32,5.987416,probtag,0.8,0.5,0.28992147878360647,0.0
116,clip-ViT-B-32,5.987416,probtag,0.9,0.5,0.28992147878360647,0.0
117,clip-ViT-B-32,5.987416,nnpu,0.1,0.5005653145079006,0.290724314163191,0.0022587042750110177
118,clip-ViT-B-32,5.987416,nnpu,0.2,0.517565522874302,0.31512267716227066,0.06899488926746167
119,clip-ViT-B-32,5.987416,nnpu,0.3,0.6155146421957537,0.4616890873132429,0.3968494262708704
120,clip-ViT-B-32,5.987416,nnpu,0.4,0.6795486579688783,0.5716971156670387,0.583696541748349
121,clip-ViT-B-32,5.987416,nnpu,0.5,0.7403308492806591,0.7079049912862989,0.7632710710488313
122,clip-ViT-B-32,5.987416,nnpu,0.6,0.7222668117372928,0.7715835438328535,0.8392387094995933
123,clip-ViT-B-32,5.987416,nnpu,0.7,0.684283769261595,0.7783978538839609,0.8533896438703995
124,clip-ViT-B-32,5.987416,nnpu,0.8,0.5956939544900766,0.7561926021656974,0.8506340047265443
125,clip-ViT-B-32,5.987416,nnpu,0.9,0.5042612255196345,0.7125261900565901,0.8316457002626056
126,clip-ViT-B-32,6.129032,probtag,0.1,0.5000689407936464,0.29001938553721435,0.00027572515716333963
127,clip-ViT-B-32,6.129032,probtag,0.2,0.5000275763174585,0.28996064148504963,0.00011029918654349926
128,clip-ViT-B-32,6.129032,probtag,0.3,0.5000137881587293,0.2899410601343281,5.515111405250386e-05
129,clip-ViT-B-32,6.129032,probtag,0.4,0.5000137881587293,0.2899410601343281,5.515111405250386e-05
130,clip-ViT-B-32,6.129032,probtag,0.5,0.5,0.28992147878360647,0.0
131,clip-ViT-B-32,6.129032,probtag,0.6,0.5,0.28992147878360647,0.0
132,clip-ViT-B-32,6.129032,probtag,0.7,0.5,0.28992147878360647,0.0
133,clip-ViT-B-32,6.129032,probtag,0.8,0.5,0.28992147878360647,0.0
134,clip-ViT-B-32,6.129032,probtag,0.9,0.5,0.28992147878360647,0.0
135,clip-ViT-B-32,6.129032,nnpu,0.1,0.5003722802856907,0.29045017525308897,0.001488013226784238
136,clip-ViT-B-32,6.129032,nnpu,0.2,0.5389891468919581,0.3462570248095714,0.14849010406039584
137,clip-ViT-B-32,6.129032,nnpu,0.3,0.5591768477061159,0.37611858465996983,0.21941837959673666
138,clip-ViT-B-32,6.129032,nnpu,0.4,0.6517955836909405,0.5226066694080558,0.505997730588426
139,clip-ViT-B-32,6.129032,nnpu,0.5,0.7157201043859163,0.645342575730874,0.6870334531379597
140,clip-ViT-B-32,6.129032,nnpu,0.6,0.7168686069753019,0.7563688343221916,0.8253803402009767
141,clip-ViT-B-32,6.129032,nnpu,0.7,0.6896844939991038,0.7786328300926197,0.8525671957119941
142,clip-ViT-B-32,6.129032,nnpu,0.8,0.5817193296787642,0.7480663416162446,0.8464127969440134
143,clip-ViT-B-32,6.129032,nnpu,0.9,0.5102467177467878,0.7157766942763711,0.8331590018276072
144,clip-ViT-B-32,6.307692,probtag,0.1,0.5000137881587293,0.2899410601343281,5.515111405250386e-05
145,clip-ViT-B-32,6.307692,probtag,0.2,0.5,0.28992147878360647,0.0
146,clip-ViT-B-32,6.307692,probtag,0.3,0.5,0.28992147878360647,0.0
147,clip-ViT-B-32,6.307692,probtag,0.4,0.5,0.28992147878360647,0.0
148,clip-ViT-B-32,6.307692,probtag,0.5,0.5,0.28992147878360647,0.0
149,clip-ViT-B-32,6.307692,probtag,0.6,0.5,0.28992147878360647,0.0
150,clip-ViT-B-32,6.307692,probtag,0.7,0.5,0.28992147878360647,0.0
151,clip-ViT-B-32,6.307692,probtag,0.8,0.5,0.28992147878360647,0.0
152,clip-ViT-B-32,6.307692,probtag,0.9,0.5,0.28992147878360647,0.0
153,clip-ViT-B-32,6.307692,nnpu,0.1,0.5007445605713813,0.2909788717225714,0.002973813916347716
154,clip-ViT-B-32,6.307692,nnpu,0.2,0.5221535871698775,0.3217803364076054,0.08655519805896937
155,clip-ViT-B-32,6.307692,nnpu,0.3,0.5444272838602378,0.35420705320252993,0.16780217007317688
156,clip-ViT-B-32,6.307692,nnpu,0.4,0.6609621883391409,0.5380367737766552,0.5310673822301729
157,clip-ViT-B-32,6.307692,nnpu,0.5,0.6882528769096558,0.5870097319313087,0.6060039976835851
158,clip-ViT-B-32,6.307692,nnpu,0.6,0.7322108688767934,0.6978205956646889,0.7534824281150161
159,clip-ViT-B-32,6.307692,nnpu,0.7,0.7090497580583239,0.7714856370792458,0.8420240415854451
160,clip-ViT-B-32,6.307692,nnpu,0.8,0.673739314451705,0.7725038673167675,0.8501483296788341
161,clip-ViT-B-32,6.307692,nnpu,0.9,0.5697431786227671,0.7424660753098749,0.8439635535307517
162,clip-ViT-B-32,6.574194,probtag,0.1,0.5,0.28992147878360647,0.0
163,clip-ViT-B-32,6.574194,probtag,0.2,0.5,0.28992147878360647,0.0
164,clip-ViT-B-32,6.574194,probtag,0.3,0.5,0.28992147878360647,0.0
165,clip-ViT-B-32,6.574194,probtag,0.4,0.5,0.28992147878360647,0.0
166,clip-ViT-B-32,6.574194,probtag,0.5,0.5,0.28992147878360647,0.0
167,clip-ViT-B-32,6.574194,probtag,0.6,0.5,0.28992147878360647,0.0
168,clip-ViT-B-32,6.574194,probtag,0.7,0.5,0.28992147878360647,0.0
169,clip-ViT-B-32,6.574194,probtag,0.8,0.5,0.28992147878360647,0.0
170,clip-ViT-B-32,6.574194,probtag,0.9,0.5,0.28992147878360647,0.0
171,clip-ViT-B-32,6.574194,nnpu,0.1,0.5006756197777349,0.29088096496896354,0.0026988323419255343
172,clip-ViT-B-32,6.574194,nnpu,0.2,0.5028755313986734,0.2940335624351368,0.011569568197395477
173,clip-ViT-B-32,6.574194,nnpu,0.3,0.5136496857951856,0.309561573557344,0.05428602081321747
174,clip-ViT-B-32,6.574194,nnpu,0.4,0.5637715416046897,0.38389238089643424,0.23819669749648928
175,clip-ViT-B-32,6.574194,nnpu,0.5,0.5465564806471152,0.3580254165932366,0.17792933978586292
176,clip-ViT-B-32,6.574194,nnpu,0.6,0.6388508680313629,0.5032015508429771,0.4746008407711901
177,clip-ViT-B-32,6.574194,nnpu,0.7,0.6366218239661771,0.5013413225244278,0.4726007538416932
178,clip-ViT-B-32,6.574194,nnpu,0.8,0.6886036200653362,0.6014411874131077,0.6316018099547511
179,clip-ViT-B-32,6.574194,nnpu,0.9,0.6998595824196063,0.6246059253167283,0.6633063453871687
180,clip-ViT-B-32,7.069421,probtag,0.1,0.5,0.28992147878360647,0.0
181,clip-ViT-B-32,7.069421,probtag,0.2,0.5,0.28992147878360647,0.0
182,clip-ViT-B-32,7.069421,probtag,0.3,0.5,0.28992147878360647,0.0
183,clip-ViT-B-32,7.069421,probtag,0.4,0.5,0.28992147878360647,0.0
184,clip-ViT-B-32,7.069421,probtag,0.5,0.5,0.28992147878360647,0.0
185,clip-ViT-B-32,7.069421,probtag,0.6,0.5,0.28992147878360647,0.0
186,clip-ViT-B-32,7.069421,probtag,0.7,0.5,0.28992147878360647,0.0
187,clip-ViT-B-32,7.069421,probtag,0.8,0.5,0.28992147878360647,0.0
188,clip-ViT-B-32,7.069421,probtag,0.9,0.5,0.28992147878360647,0.0
189,clip-ViT-B-32,7.069421,nnpu,0.1,0.5,0.28992147878360647,0.0
190,clip-ViT-B-32,7.069421,nnpu,0.2,0.5001516697460221,0.2901368736415438,0.0006064950102001433
191,clip-ViT-B-32,7.069421,nnpu,0.3,0.5002343986983978,0.2902543617458732,0.0009371554575523704
192,clip-ViT-B-32,7.069421,nnpu,0.4,0.5001240934285636,0.2900977109401007,0.0004962505513895015
193,clip-ViT-B-32,7.069421,nnpu,0.5,0.5013926040316576,0.29189919520648533,0.005554944450555494
194,clip-ViT-B-32,7.069421,nnpu,0.6,0.5006204671428177,0.29080263956607727,0.0024787925526054866
195,clip-ViT-B-32,7.069421,nnpu,0.7,0.5037028209224303,0.2952084434784311,0.014835089640071165
196,clip-ViT-B-32,7.069421,nnpu,0.8,0.504522516063205,0.29634416182028234,0.01792790576917821
